"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice"
60,"RL",65,8450,"Reg","Inside","CollgCr","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",196,"Gd","PConc","Gd","No","GLQ",706,0,150,856,"Ex",856,854,0,1710,1,0,2,1,3,1,"Gd",8,0,"Attchd",2003,"RFn",2,548,0,61,0,0,0,0,0,2,2008,208500
20,"RL",80,9600,"Reg","Inside","NAmes","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",0,"TA","CBlock","Gd","Gd","ALQ",978,0,284,1262,"Ex",1262,0,0,1262,0,1,2,0,3,1,"TA",6,1,"Attchd",1976,"RFn",2,460,298,0,0,0,0,0,0,5,2007,181500
60,"RL",68,11250,"IR1","Inside","CollgCr","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",162,"Gd","PConc","Gd","Mn","GLQ",486,0,434,920,"Ex",920,866,0,1786,1,0,2,1,3,1,"Gd",6,1,"Attchd",2001,"RFn",2,608,0,42,0,0,0,0,0,9,2008,223500
70,"RL",60,9550,"IR1","Corner","NAmes","2Story",7,5,1915,1970,"Gable","Wd Sdng","VinylSd","None",0,"TA","BrkTil","TA","No","ALQ",216,0,540,756,"Gd",961,756,0,1717,1,0,1,0,3,1,"Gd",7,1,"Detchd",1998,"Unf",3,642,0,35,272,0,0,0,0,2,2006,140000
60,"RL",84,14260,"IR1","Inside","NAmes","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",350,"Gd","PConc","Gd","Av","GLQ",655,0,490,1145,"Ex",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,1,"Attchd",2000,"RFn",3,836,192,84,0,0,0,0,0,12,2008,250000
50,"RL",85,14115,"IR1","Inside","NAmes","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","Gd","No","GLQ",732,0,64,796,"Ex",796,566,0,1362,1,0,1,1,1,1,"TA",5,0,"Attchd",1993,"Unf",2,480,40,30,0,320,0,0,700,10,2009,143000
20,"RL",75,10084,"Reg","Inside","NAmes","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",186,"Gd","PConc","Ex","Av","GLQ",1369,0,317,1686,"Ex",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,1,"Attchd",2004,"RFn",2,636,255,57,0,0,0,0,0,8,2007,307000
60,"RL",0,10382,"IR1","Corner","NAmes","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",240,"TA","CBlock","Gd","Mn","ALQ",859,32,216,1107,"Ex",1107,983,0,2090,1,0,2,1,3,1,"TA",7,2,"Attchd",1973,"RFn",2,484,235,204,228,0,0,0,350,11,2009,2e+05
50,"RM",51,6120,"Reg","Inside","OldTown","1.5Fin",7,5,1931,1950,"Gable","VinylSd","VinylSd","None",0,"TA","BrkTil","TA","No","Unf",0,0,952,952,"Gd",1022,752,0,1774,0,0,2,0,2,2,"TA",8,2,"Detchd",1931,"Unf",2,468,90,0,205,0,0,0,0,4,2008,129900
190,"RL",50,7420,"Reg","Corner","NAmes","1Story",5,6,1939,1950,"Gable","MetalSd","MetalSd","None",0,"TA","BrkTil","TA","No","GLQ",851,0,140,991,"Ex",1077,0,0,1077,1,0,1,0,2,2,"TA",5,2,"Attchd",1939,"RFn",1,205,0,4,0,0,0,0,0,1,2008,118000
20,"RL",70,11200,"Reg","Inside","NAmes","1Story",5,5,1965,1965,"Hip","HdBoard","HdBoard","None",0,"TA","CBlock","TA","No","Rec",906,0,134,1040,"Ex",1040,0,0,1040,1,0,1,0,3,1,"TA",5,0,"Detchd",1965,"Unf",1,384,0,0,0,0,0,0,0,2,2008,129500
60,"RL",85,11924,"IR1","Inside","NAmes","2Story",9,5,2005,2006,"Hip","VinylSd","VinylSd","Stone",286,"TA","PConc","Ex","No","GLQ",998,0,177,1175,"Ex",1182,1142,0,2324,1,0,3,0,4,1,"TA",11,2,"Attchd",2005,"Fin",3,736,147,21,0,0,0,0,0,7,2006,345000
